Stock	Time	Last	Chg	Chg%	TVal	%Val	TLot	%Lot	TFrq	%Frq	Type	Stock Name	Corp. Action	
NIRO	11:54:17	222	-4	-1.8	21512600	9	972	8	64	25	ORDI_PREOPEN	City Retail Developments Tbk.	-	
KSIX	10:52:20	346	-6	-1.7	21314800	86	613	85	11	45	ORDI_PREOPEN	Kentanix Supra International Tbk.	-	
DLTA	11:03:55	1980	-5	-0.3	21218000	8	107	8	18	22	ORDI_PREOPEN	Delta Djakarta Tbk.	-	
MNCNZPCM6A	11:41:28	6	0	0.0	21089800	5	41861	3	55	36	S_WARI	SW Call 3:1 x340 MNCN 25 Jun 26 Maybank (ZP)	-	
PGEODRCJ6A	11:32:58	7	0	0.0	21049700	18	30068	17	54	35	S_WARI	SW Call 7:1 x1700 PGEO 20 Apr 26 RHB (DR)	-	
BHAT	11:52:37	1400	0	0.0	21018000	19	150	18	21	28	ORDI_PREOPEN	Bhakti Multi Artha Tbk.	-	
BBCABQCG6A	11:58:59	3	-1	-25.0	20833900	61	69696	60	55	83	S_WARI	SW Call 13,9083:1 x9214 BBCA 24 Feb 26 KISI (BQ)	-	
KKES	11:55:01	38	1	2.7	20561800	41	5411	41	47	53	WATCH_CALL	Kusuma Kemindo Sentosa Tbk.	-	
MEGA	11:26:28	3300	-20	-0.6	20497000	8	61	8	17	23	ORDI_PREOPEN	Bank Mega Tbk.	-	
LPGI	11:44:24	595	-15	-2.5	20324500	22	339	22	48	50	ORDI_PREOPEN	Lippo General Insurance Tbk.	-	
HRUMZPCM6A	09:47:50	27	2	8.0	20141900	100	7312	99	7	85	S_WARI	SW Call 6:1 x1300 HRUM 25 Jun 26 Maybank (ZP)	-	
TLKMHDCJ6A	11:30:57	43	4	10.3	20109200	99	5092	99	4	75	S_WARI	SW Call 6:1 x3577 TLKM 9 Apr 26 KGI (HD)	-	
BRPTHDCN6A	11:50:57	21	-2	-8.7	20050400	62	9403	61	51	35	S_WARI	SW Call 12:1 x11225 BRPT 27 Jul 26 KGI (HD)	-	
MAPADRCJ6A	10:43:32	9	-1	-10.0	20032400	7	22020	6	12	41	S_WARI	SW Call 6:1 x760 MAPA 20 Apr 26 RHB (DR)	-	
MBMAHDCN6A	10:33:16	100	2	2.0	20021000	0	2002	0	3	33	S_WARI	SW Call 2:1 x653 MBMA 26 Jun 26 KGI (HD)	-	
AGAR	11:39:42	260	-2	-0.8	19973400	61	760	61	61	54	ORDI_PREOPEN	Asia Sejahtera Mina Tbk.	-	
KOPI	11:59:44	266	-2	-0.7	19885600	42	742	41	38	42	ORDI_PREOPEN	Mitra Energi Persada Tbk.	-	
BKDP	11:55:01	60	0	0.0	19758000	0	3293	0	44	0	WATCH_CALL	Bukit Darmo Property Tbk	-	
TIFA	11:55:54	392	0	0.0	19751600	38	502	37	64	45	ORDI_PREOPEN	KDB Tifa Finance Tbk.	-	
CINT	11:35:50	208	-2	-1.0	19574200	42	940	41	68	52	ORDI_PREOPEN	Chitose Internasional Tbk.	-	
TRJA	11:40:47	162	-1	-0.6	19507800	31	1208	30	46	41	ORDI_PREOPEN	Transkon Jaya Tbk.	-	
JMAS	11:39:24	224	-4	-1.8	19022000	2	857	2	48	16	ORDI_PREOPEN	Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk.	-	
GDST	11:44:53	115	-1	-0.9	18651900	49	1634	48	57	50	ORDI_PREOPEN	Gunawan Dianjaya Steel Tbk.	-	
INCOBQCN6A	09:02:55	200	24	13.6	18600000	0	930	0	1	0	S_WARI	SW Call 12:1 x7155 INCO 28 Jul 26 KISI (BQ)	-	
PGEOHDCH6B	10:17:43	8	1	14.3	18536000	5	23046	4	23	39	S_WARI	SW Call 5:1 x1680 PGEO 26 Mar 26 KGI (HD)	-	
MBMADRCN6A	11:09:50	48	1	2.1	18529800	4	3788	3	15	53	S_WARI	SW Call 2:1 x1160 MBMA 29 Jun 26 RHB (DR)	-	
KPIGDRCM6A	11:31:24	34	-7	-17.1	18274900	83	5061	83	7	85	S_WARI	SW Call 1:1 x204 KPIG 5 Jun 26 RHB (DR)	-	
CLPI	11:41:12	1555	10	0.6	18144500	62	117	61	23	69	ORDI_PREOPEN	Colorpak Indonesia Tbk.	-	
RICY	11:55:01	91	8	9.6	17772300	29	1953	29	24	45	WATCH_CALL	Ricky Putra Globalindo Tbk	-	
XIJI	09:43:41	685	1	0.1	17546900	98	258	97	5	80	MUTI	ETF PASSIVE IPIM JII INDEX (SYARIAH)	-	
RUNS	11:29:00	89	-1	-1.1	17355200	57	1913	56	51	39	ACCEL	Global Sukses Solusi Tbk.	-	
PTPW	11:39:50	980	-5	-0.5	17346000	93	177	93	38	92	ORDI_PREOPEN	Pratama Widya Tbk.	-	
GJTLZPCJ6A	10:58:56	17	1	6.3	17240100	90	10775	90	7	71	S_WARI	SW Call 10:1 x1080 GJTL 27 Apr 26 Maybank (ZP)	-	
JPFABQCK6A	11:48:34	20	-2	-9.1	17120000	2	8515	2	38	7	S_WARI	SW Call 10:1 x4745 JPFA 21 May 26 KISI (BQ)	-	
RATUBQCU6A	11:55:27	51	3	6.3	16904700	23	3152	22	45	42	S_WARI	SW Call 50:1 x27600 RATU 25 Sep 26 KISI (BQ)	-	
BRMSDRCN6A	11:47:01	53	-1	-1.9	16738400	77	3138	76	16	62	S_WARI	SW Call 3:1 x1625 BRMS 29 Jun 26 RHB (DR)	-	
BESS	11:35:02	1430	-25	-1.7	16570000	42	115	41	27	29	ORDI_PREOPEN	Batulicin Nusantara Maritim Tbk.	-	
FMII	11:57:00	278	8	3.0	16396000	57	592	55	44	61	ORDI_PREOPEN	Fortune Mate Indonesia Tbk	-	
VRNA	11:53:44	86	0	0.0	16338900	70	1904	69	79	70	ORDI_PREOPEN	Mizuho Leasing Indonesia Tbk.	-	
ADROBQCN6A	10:48:50	90	4	4.7	16295000	4	1844	4	4	50	S_WARI	SW Call 5,5600:1 x2317 ADRO 28 Jul 26 KISI (BQ)	-	
ARII	11:47:39	294	-4	-1.3	16217000	32	551	31	49	51	ORDI_PREOPEN	Atlas Resources Tbk.	-	
